"","SEMANA","REPORTE","CVEGEO","MUNICIPIO","CLAS_REG","POB","CASOS_SEMANALES"
"2387",42,2020-10-18,"26068","Villa Pesqueira","Sierra Centro",1263,0
"2388",43,2020-10-25,"26068","Villa Pesqueira","Sierra Centro",1263,0
"2389",44,2020-11-01,"26068","Villa Pesqueira","Sierra Centro",1263,0
"2390",45,2020-11-08,"26068","Villa Pesqueira","Sierra Centro",1263,0
"2391",46,2020-11-15,"26068","Villa Pesqueira","Sierra Centro",1263,0
"2392",47,2020-11-22,"26068","Villa Pesqueira","Sierra Centro",1263,0
"2393",48,2020-11-29,"26068","Villa Pesqueira","Sierra Centro",1263,0
"2394",49,2020-12-04,"26068","Villa Pesqueira","Sierra Centro",1263,0
"2395",12,2020-03-22,"26069","Yécora","Sur",6387,0
"2396",13,2020-03-29,"26069","Yécora","Sur",6387,0
"2397",14,2020-04-05,"26069","Yécora","Sur",6387,0
"2398",15,2020-04-12,"26069","Yécora","Sur",6387,0
"2399",16,2020-04-19,"26069","Yécora","Sur",6387,0
"2400",17,2020-04-26,"26069","Yécora","Sur",6387,0
"2401",18,2020-05-03,"26069","Yécora","Sur",6387,0
"2402",19,2020-05-10,"26069","Yécora","Sur",6387,0
"2403",20,2020-05-17,"26069","Yécora","Sur",6387,0
"2404",21,2020-05-24,"26069","Yécora","Sur",6387,0
"2405",22,2020-05-31,"26069","Yécora","Sur",6387,0
"2406",23,2020-06-07,"26069","Yécora","Sur",6387,0
"2407",24,2020-06-14,"26069","Yécora","Sur",6387,0
"2408",25,2020-06-21,"26069","Yécora","Sur",6387,0
"2409",26,2020-06-28,"26069","Yécora","Sur",6387,0
"2410",27,2020-07-05,"26069","Yécora","Sur",6387,1
"2411",28,2020-07-12,"26069","Yécora","Sur",6387,4
"2412",29,2020-07-19,"26069","Yécora","Sur",6387,10
"2413",30,2020-07-26,"26069","Yécora","Sur",6387,6
"2414",31,2020-08-02,"26069","Yécora","Sur",6387,0
"2415",32,2020-08-09,"26069","Yécora","Sur",6387,0
"2416",33,2020-08-16,"26069","Yécora","Sur",6387,0
"2417",34,2020-08-23,"26069","Yécora","Sur",6387,1
"2418",35,2020-08-30,"26069","Yécora","Sur",6387,0
"2419",36,2020-09-06,"26069","Yécora","Sur",6387,0
"2420",37,2020-09-13,"26069","Yécora","Sur",6387,0
"2421",38,2020-09-20,"26069","Yécora","Sur",6387,0
"2422",39,2020-09-27,"26069","Yécora","Sur",6387,0
"2423",40,2020-10-04,"26069","Yécora","Sur",6387,0
"2424",41,2020-10-11,"26069","Yécora","Sur",6387,0
"2425",42,2020-10-18,"26069","Yécora","Sur",6387,0
"2426",43,2020-10-25,"26069","Yécora","Sur",6387,0
"2427",44,2020-11-01,"26069","Yécora","Sur",6387,0
"2428",45,2020-11-08,"26069","Yécora","Sur",6387,0
"2429",46,2020-11-15,"26069","Yécora","Sur",6387,0
"2430",47,2020-11-22,"26069","Yécora","Sur",6387,1
"2431",48,2020-11-29,"26069","Yécora","Sur",6387,0
"2432",49,2020-12-04,"26069","Yécora","Sur",6387,2
"2433",12,2020-03-22,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2434",13,2020-03-29,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2435",14,2020-04-05,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2436",15,2020-04-12,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2437",16,2020-04-19,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2438",17,2020-04-26,"26070","General Plutarco Elías Calles","Noroeste",18481,1
"2439",18,2020-05-03,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2440",19,2020-05-10,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2441",20,2020-05-17,"26070","General Plutarco Elías Calles","Noroeste",18481,3
"2442",21,2020-05-24,"26070","General Plutarco Elías Calles","Noroeste",18481,3
"2443",22,2020-05-31,"26070","General Plutarco Elías Calles","Noroeste",18481,4
"2444",23,2020-06-07,"26070","General Plutarco Elías Calles","Noroeste",18481,7
"2445",24,2020-06-14,"26070","General Plutarco Elías Calles","Noroeste",18481,9
"2446",25,2020-06-21,"26070","General Plutarco Elías Calles","Noroeste",18481,7
"2447",26,2020-06-28,"26070","General Plutarco Elías Calles","Noroeste",18481,3
"2448",27,2020-07-05,"26070","General Plutarco Elías Calles","Noroeste",18481,10
"2449",28,2020-07-12,"26070","General Plutarco Elías Calles","Noroeste",18481,9
"2450",29,2020-07-19,"26070","General Plutarco Elías Calles","Noroeste",18481,6
"2451",30,2020-07-26,"26070","General Plutarco Elías Calles","Noroeste",18481,4
"2452",31,2020-08-02,"26070","General Plutarco Elías Calles","Noroeste",18481,2
"2453",32,2020-08-09,"26070","General Plutarco Elías Calles","Noroeste",18481,8
"2454",33,2020-08-16,"26070","General Plutarco Elías Calles","Noroeste",18481,5
"2455",34,2020-08-23,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2456",35,2020-08-30,"26070","General Plutarco Elías Calles","Noroeste",18481,2
"2457",36,2020-09-06,"26070","General Plutarco Elías Calles","Noroeste",18481,9
"2458",37,2020-09-13,"26070","General Plutarco Elías Calles","Noroeste",18481,9
"2459",38,2020-09-20,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2460",39,2020-09-27,"26070","General Plutarco Elías Calles","Noroeste",18481,3
"2461",40,2020-10-04,"26070","General Plutarco Elías Calles","Noroeste",18481,2
"2462",41,2020-10-11,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2463",42,2020-10-18,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2464",43,2020-10-25,"26070","General Plutarco Elías Calles","Noroeste",18481,1
"2465",44,2020-11-01,"26070","General Plutarco Elías Calles","Noroeste",18481,4
"2466",45,2020-11-08,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2467",46,2020-11-15,"26070","General Plutarco Elías Calles","Noroeste",18481,0
"2468",47,2020-11-22,"26070","General Plutarco Elías Calles","Noroeste",18481,3
"2469",48,2020-11-29,"26070","General Plutarco Elías Calles","Noroeste",18481,2
"2470",49,2020-12-04,"26070","General Plutarco Elías Calles","Noroeste",18481,7
"2471",12,2020-03-22,"26071","Benito Juárez","Sur",23843,0
"2472",13,2020-03-29,"26071","Benito Juárez","Sur",23843,0
"2473",14,2020-04-05,"26071","Benito Juárez","Sur",23843,0
"2474",15,2020-04-12,"26071","Benito Juárez","Sur",23843,0
"2475",16,2020-04-19,"26071","Benito Juárez","Sur",23843,0
"2476",17,2020-04-26,"26071","Benito Juárez","Sur",23843,0
"2477",18,2020-05-03,"26071","Benito Juárez","Sur",23843,0
"2478",19,2020-05-10,"26071","Benito Juárez","Sur",23843,0
"2479",20,2020-05-17,"26071","Benito Juárez","Sur",23843,0
"2480",21,2020-05-24,"26071","Benito Juárez","Sur",23843,7
"2481",22,2020-05-31,"26071","Benito Juárez","Sur",23843,0
"2482",23,2020-06-07,"26071","Benito Juárez","Sur",23843,5
"2483",24,2020-06-14,"26071","Benito Juárez","Sur",23843,1
"2484",25,2020-06-21,"26071","Benito Juárez","Sur",23843,3
"2485",26,2020-06-28,"26071","Benito Juárez","Sur",23843,4
"2486",27,2020-07-05,"26071","Benito Juárez","Sur",23843,2
"2487",28,2020-07-12,"26071","Benito Juárez","Sur",23843,0
"2488",29,2020-07-19,"26071","Benito Juárez","Sur",23843,3
"2489",30,2020-07-26,"26071","Benito Juárez","Sur",23843,7
"2490",31,2020-08-02,"26071","Benito Juárez","Sur",23843,7
"2491",32,2020-08-09,"26071","Benito Juárez","Sur",23843,20
"2492",33,2020-08-16,"26071","Benito Juárez","Sur",23843,18
"2493",34,2020-08-23,"26071","Benito Juárez","Sur",23843,3
"2494",35,2020-08-30,"26071","Benito Juárez","Sur",23843,3
"2495",36,2020-09-06,"26071","Benito Juárez","Sur",23843,4
"2496",37,2020-09-13,"26071","Benito Juárez","Sur",23843,5
"2497",38,2020-09-20,"26071","Benito Juárez","Sur",23843,6
"2498",39,2020-09-27,"26071","Benito Juárez","Sur",23843,9
"2499",40,2020-10-04,"26071","Benito Juárez","Sur",23843,6
"2500",41,2020-10-11,"26071","Benito Juárez","Sur",23843,1
"2501",42,2020-10-18,"26071","Benito Juárez","Sur",23843,0
"2502",43,2020-10-25,"26071","Benito Juárez","Sur",23843,0
"2503",44,2020-11-01,"26071","Benito Juárez","Sur",23843,0
"2504",45,2020-11-08,"26071","Benito Juárez","Sur",23843,0
"2505",46,2020-11-15,"26071","Benito Juárez","Sur",23843,2
"2506",47,2020-11-22,"26071","Benito Juárez","Sur",23843,0
"2507",48,2020-11-29,"26071","Benito Juárez","Sur",23843,3
"2508",49,2020-12-04,"26071","Benito Juárez","Sur",23843,1
"2509",12,2020-03-22,"26072","San Ignacio Río Muerto","Sur",15677,0
"2510",13,2020-03-29,"26072","San Ignacio Río Muerto","Sur",15677,0
"2511",14,2020-04-05,"26072","San Ignacio Río Muerto","Sur",15677,0
"2512",15,2020-04-12,"26072","San Ignacio Río Muerto","Sur",15677,0
"2513",16,2020-04-19,"26072","San Ignacio Río Muerto","Sur",15677,0
"2514",17,2020-04-26,"26072","San Ignacio Río Muerto","Sur",15677,0
"2515",18,2020-05-03,"26072","San Ignacio Río Muerto","Sur",15677,0
"2516",19,2020-05-10,"26072","San Ignacio Río Muerto","Sur",15677,0
"2517",20,2020-05-17,"26072","San Ignacio Río Muerto","Sur",15677,0
"2518",21,2020-05-24,"26072","San Ignacio Río Muerto","Sur",15677,1
"2519",22,2020-05-31,"26072","San Ignacio Río Muerto","Sur",15677,0
"2520",23,2020-06-07,"26072","San Ignacio Río Muerto","Sur",15677,0
"2521",24,2020-06-14,"26072","San Ignacio Río Muerto","Sur",15677,3
"2522",25,2020-06-21,"26072","San Ignacio Río Muerto","Sur",15677,0
"2523",26,2020-06-28,"26072","San Ignacio Río Muerto","Sur",15677,3
"2524",27,2020-07-05,"26072","San Ignacio Río Muerto","Sur",15677,3
"2525",28,2020-07-12,"26072","San Ignacio Río Muerto","Sur",15677,0
"2526",29,2020-07-19,"26072","San Ignacio Río Muerto","Sur",15677,2
"2527",30,2020-07-26,"26072","San Ignacio Río Muerto","Sur",15677,3
"2528",31,2020-08-02,"26072","San Ignacio Río Muerto","Sur",15677,12
"2529",32,2020-08-09,"26072","San Ignacio Río Muerto","Sur",15677,27
"2530",33,2020-08-16,"26072","San Ignacio Río Muerto","Sur",15677,5
"2531",34,2020-08-23,"26072","San Ignacio Río Muerto","Sur",15677,7
"2532",35,2020-08-30,"26072","San Ignacio Río Muerto","Sur",15677,9
"2533",36,2020-09-06,"26072","San Ignacio Río Muerto","Sur",15677,3
"2534",37,2020-09-13,"26072","San Ignacio Río Muerto","Sur",15677,6
"2535",38,2020-09-20,"26072","San Ignacio Río Muerto","Sur",15677,4
"2536",39,2020-09-27,"26072","San Ignacio Río Muerto","Sur",15677,0
"2537",40,2020-10-04,"26072","San Ignacio Río Muerto","Sur",15677,4
"2538",41,2020-10-11,"26072","San Ignacio Río Muerto","Sur",15677,3
"2539",42,2020-10-18,"26072","San Ignacio Río Muerto","Sur",15677,1
"2540",43,2020-10-25,"26072","San Ignacio Río Muerto","Sur",15677,0
"2541",44,2020-11-01,"26072","San Ignacio Río Muerto","Sur",15677,1
"2542",45,2020-11-08,"26072","San Ignacio Río Muerto","Sur",15677,0
"2543",46,2020-11-15,"26072","San Ignacio Río Muerto","Sur",15677,2
"2544",47,2020-11-22,"26072","San Ignacio Río Muerto","Sur",15677,1
"2545",48,2020-11-29,"26072","San Ignacio Río Muerto","Sur",15677,0
"2546",49,2020-12-04,"26072","San Ignacio Río Muerto","Sur",15677,0
