Fecha,CVEGEO,MUNICIPIO,DECESOS,NUEVOS
17/06/2020,26071,Benito Juárez,6,0
18/06/2020,26071,Benito Juárez,7,1
19/06/2020,26071,Benito Juárez,7,0
20/06/2020,26071,Benito Juárez,7,0
21/06/2020,26071,Benito Juárez,7,0
22/06/2020,26071,Benito Juárez,7,0
23/06/2020,26071,Benito Juárez,7,0
24/06/2020,26071,Benito Juárez,7,0
25/06/2020,26071,Benito Juárez,7,0
26/06/2020,26071,Benito Juárez,7,0
27/06/2020,26071,Benito Juárez,8,1
28/06/2020,26071,Benito Juárez,8,0
29/06/2020,26071,Benito Juárez,8,0
04/04/2020,26016,Benjamín Hill,0,0
05/04/2020,26016,Benjamín Hill,0,0
06/04/2020,26016,Benjamín Hill,0,0
07/04/2020,26016,Benjamín Hill,0,0
08/04/2020,26016,Benjamín Hill,0,0
09/04/2020,26016,Benjamín Hill,0,0
10/04/2020,26016,Benjamín Hill,0,0
11/04/2020,26016,Benjamín Hill,0,0
12/04/2020,26016,Benjamín Hill,0,0
13/04/2020,26016,Benjamín Hill,0,0
14/04/2020,26016,Benjamín Hill,0,0
15/04/2020,26016,Benjamín Hill,0,0
16/04/2020,26016,Benjamín Hill,0,0
17/04/2020,26016,Benjamín Hill,0,0
18/04/2020,26016,Benjamín Hill,0,0
19/04/2020,26016,Benjamín Hill,0,0
20/04/2020,26016,Benjamín Hill,0,0
21/04/2020,26016,Benjamín Hill,0,0
22/04/2020,26016,Benjamín Hill,0,0
23/04/2020,26016,Benjamín Hill,0,0
24/04/2020,26016,Benjamín Hill,0,0
25/04/2020,26016,Benjamín Hill,0,0
26/04/2020,26016,Benjamín Hill,0,0
27/04/2020,26016,Benjamín Hill,0,0
28/04/2020,26016,Benjamín Hill,0,0
29/04/2020,26016,Benjamín Hill,0,0
30/04/2020,26016,Benjamín Hill,0,0
01/05/2020,26016,Benjamín Hill,0,0
02/05/2020,26016,Benjamín Hill,0,0
03/05/2020,26016,Benjamín Hill,0,0
04/05/2020,26016,Benjamín Hill,0,0
05/05/2020,26016,Benjamín Hill,0,0
06/05/2020,26016,Benjamín Hill,0,0
07/05/2020,26016,Benjamín Hill,0,0
08/05/2020,26016,Benjamín Hill,0,0
09/05/2020,26016,Benjamín Hill,0,0
10/05/2020,26016,Benjamín Hill,0,0
11/05/2020,26016,Benjamín Hill,0,0
12/05/2020,26016,Benjamín Hill,0,0
13/05/2020,26016,Benjamín Hill,0,0
14/05/2020,26016,Benjamín Hill,0,0
