Fecha,Casos,Negativos,Sospechosos,Decesos,Casos.Nuevos,Negativos.Nuevos,Sospechosos.Nuevos,Decesos.Nuevos
04/07/2020,252165,308439,74387,30366,6914,6453,-3363,523
05/07/2020,256848,312989,71305,30639,4683,4550,-3082,273
06/07/2020,261750,317446,73035,31119,4902,4457,1730,480
07/07/2020,268008,322826,77703,32014,6258,5380,4668,895
08/07/2020,275003,328908,80893,32796,6995,6082,3190,782
09/07/2020,282283,336673,80988,33526,7280,7765,95,730
10/07/2020,289174,344283,81838,34191,6891,7610,850,665
11/07/2020,295268,350007,78393,34730,6094,5724,-3445,539
12/07/2020,299750,354171,74563,35006,4482,4164,-3830,276
13/07/2020,304435,358663,76824,35491,4685,4492,2261,485
14/07/2020,311486,363930,80721,36327,7051,5267,3897,836
15/07/2020,317635,369411,81411,36906,6149,5481,690,579
16/07/2020,324041,375455,82567,37574,6406,6044,1156,668
17/07/2020,331298,382003,85877,38310,7257,6548,3310,736
18/07/2020,338913,388636,87104,38888,7615,6633,1227,578
19/07/2020,344224,394156,83542,39184,5311,5520,-3562,296
20/07/2020,349396,399443,79112,39485,5172,5287,-4430,301
21/07/2020,356255,406151,82866,40400,6859,6708,3754,915
22/07/2020,362274,411673,87905,41190,6019,5522,5039,790
23/07/2020,370712,419349,89547,41908,8438,7676,1642,718
24/07/2020,378285,426869,90970,42645,7573,7520,1423,737
25/07/2020,385036,433384,93433,43374,6751,6515,2463,729
26/07/2020,390516,438468,89397,43680,5480,5084,-4036,306
