Fecha,CVEGEO,MUNICIPIO,CASOS,NUEVOS
22/04/2020,26002,Agua Prieta,1,0
23/04/2020,26002,Agua Prieta,1,0
24/04/2020,26002,Agua Prieta,1,0
25/04/2020,26002,Agua Prieta,1,0
26/04/2020,26002,Agua Prieta,1,0
27/04/2020,26002,Agua Prieta,1,0
28/04/2020,26002,Agua Prieta,1,0
29/04/2020,26002,Agua Prieta,3,2
30/04/2020,26002,Agua Prieta,3,0
01/05/2020,26002,Agua Prieta,4,1
02/05/2020,26002,Agua Prieta,4,0
03/05/2020,26002,Agua Prieta,4,0
04/05/2020,26002,Agua Prieta,4,0
05/05/2020,26002,Agua Prieta,4,0
06/05/2020,26002,Agua Prieta,7,3
07/05/2020,26002,Agua Prieta,9,2
08/05/2020,26002,Agua Prieta,10,1
09/05/2020,26002,Agua Prieta,10,0
10/05/2020,26002,Agua Prieta,11,1
11/05/2020,26002,Agua Prieta,11,0
12/05/2020,26002,Agua Prieta,11,0
13/05/2020,26002,Agua Prieta,13,2
14/05/2020,26002,Agua Prieta,13,0
15/05/2020,26002,Agua Prieta,13,0
16/05/2020,26002,Agua Prieta,14,1
17/05/2020,26002,Agua Prieta,14,0
18/05/2020,26002,Agua Prieta,17,3
19/05/2020,26002,Agua Prieta,18,1
20/05/2020,26002,Agua Prieta,18,0
21/05/2020,26002,Agua Prieta,19,1
22/05/2020,26002,Agua Prieta,19,0
23/05/2020,26002,Agua Prieta,20,1
24/05/2020,26002,Agua Prieta,22,2
25/05/2020,26002,Agua Prieta,24,2
26/05/2020,26002,Agua Prieta,29,5
27/05/2020,26002,Agua Prieta,32,3
28/05/2020,26002,Agua Prieta,35,3
29/05/2020,26002,Agua Prieta,36,1
30/05/2020,26002,Agua Prieta,39,3
31/05/2020,26002,Agua Prieta,40,1
01/06/2020,26002,Agua Prieta,40,0
02/06/2020,26002,Agua Prieta,47,7
03/06/2020,26002,Agua Prieta,47,0
04/06/2020,26002,Agua Prieta,50,3
05/06/2020,26002,Agua Prieta,57,7
06/06/2020,26002,Agua Prieta,57,0
07/06/2020,26002,Agua Prieta,63,6
08/06/2020,26002,Agua Prieta,74,11
09/06/2020,26002,Agua Prieta,76,2
10/06/2020,26002,Agua Prieta,76,0
11/06/2020,26002,Agua Prieta,90,14
12/06/2020,26002,Agua Prieta,91,1
13/06/2020,26002,Agua Prieta,102,11
14/06/2020,26002,Agua Prieta,104,2
15/06/2020,26002,Agua Prieta,107,3
16/06/2020,26002,Agua Prieta,108,1
17/06/2020,26002,Agua Prieta,118,10
18/06/2020,26002,Agua Prieta,118,0
19/06/2020,26002,Agua Prieta,133,15
20/06/2020,26002,Agua Prieta,141,8
21/06/2020,26002,Agua Prieta,152,11
22/06/2020,26002,Agua Prieta,170,18
23/06/2020,26002,Agua Prieta,171,1
24/06/2020,26002,Agua Prieta,181,10
25/06/2020,26002,Agua Prieta,181,0
26/06/2020,26002,Agua Prieta,197,16
27/06/2020,26002,Agua Prieta,204,7
28/06/2020,26002,Agua Prieta,222,18
29/06/2020,26002,Agua Prieta,222,0
30/06/2020,26002,Agua Prieta,226,4
01/07/2020,26002,Agua Prieta,226,0
02/07/2020,26002,Agua Prieta,253,27
03/07/2020,26002,Agua Prieta,256,3
04/07/2020,26002,Agua Prieta,271,15
05/07/2020,26002,Agua Prieta,271,0
06/07/2020,26002,Agua Prieta,271,0
07/07/2020,26002,Agua Prieta,292,21
08/07/2020,26002,Agua Prieta,316,24
09/07/2020,26002,Agua Prieta,316,0
10/07/2020,26002,Agua Prieta,341,25
16/03/2020,26003,Álamos,0,0
17/03/2020,26003,Álamos,0,0
18/03/2020,26003,Álamos,0,0
19/03/2020,26003,Álamos,0,0
20/03/2020,26003,Álamos,0,0
21/03/2020,26003,Álamos,0,0
22/03/2020,26003,Álamos,0,0
23/03/2020,26003,Álamos,0,0
24/03/2020,26003,Álamos,0,0
25/03/2020,26003,Álamos,0,0
26/03/2020,26003,Álamos,0,0
27/03/2020,26003,Álamos,0,0
28/03/2020,26003,Álamos,0,0
29/03/2020,26003,Álamos,0,0
30/03/2020,26003,Álamos,0,0
31/03/2020,26003,Álamos,0,0
01/04/2020,26003,Álamos,0,0
02/04/2020,26003,Álamos,0,0
03/04/2020,26003,Álamos,0,0
04/04/2020,26003,Álamos,0,0
05/04/2020,26003,Álamos,0,0
06/04/2020,26003,Álamos,0,0
07/04/2020,26003,Álamos,0,0
08/04/2020,26003,Álamos,0,0
09/04/2020,26003,Álamos,0,0
10/04/2020,26003,Álamos,0,0
11/04/2020,26003,Álamos,0,0
12/04/2020,26003,Álamos,0,0
13/04/2020,26003,Álamos,0,0
14/04/2020,26003,Álamos,0,0
15/04/2020,26003,Álamos,0,0
16/04/2020,26003,Álamos,0,0
17/04/2020,26003,Álamos,0,0
18/04/2020,26003,Álamos,0,0
19/04/2020,26003,Álamos,0,0
20/04/2020,26003,Álamos,0,0
21/04/2020,26003,Álamos,0,0
22/04/2020,26003,Álamos,0,0
23/04/2020,26003,Álamos,0,0
24/04/2020,26003,Álamos,0,0
25/04/2020,26003,Álamos,0,0
26/04/2020,26003,Álamos,0,0
27/04/2020,26003,Álamos,0,0
28/04/2020,26003,Álamos,0,0
29/04/2020,26003,Álamos,0,0
30/04/2020,26003,Álamos,0,0
01/05/2020,26003,Álamos,0,0
02/05/2020,26003,Álamos,0,0
03/05/2020,26003,Álamos,0,0
04/05/2020,26003,Álamos,0,0
05/05/2020,26003,Álamos,0,0
06/05/2020,26003,Álamos,0,0
07/05/2020,26003,Álamos,0,0
08/05/2020,26003,Álamos,0,0
