Fecha,CVEGEO,MUNICIPIO,DECESOS,NUEVOS
17/06/2020,26006,Arizpe,0,0
18/06/2020,26006,Arizpe,0,0
19/06/2020,26006,Arizpe,0,0
20/06/2020,26006,Arizpe,0,0
21/06/2020,26006,Arizpe,0,0
22/06/2020,26006,Arizpe,0,0
23/06/2020,26006,Arizpe,0,0
24/06/2020,26006,Arizpe,0,0
25/06/2020,26006,Arizpe,0,0
26/06/2020,26006,Arizpe,0,0
27/06/2020,26006,Arizpe,0,0
28/06/2020,26006,Arizpe,0,0
29/06/2020,26006,Arizpe,0,0
30/06/2020,26006,Arizpe,0,0
01/07/2020,26006,Arizpe,0,0
02/07/2020,26006,Arizpe,0,0
03/07/2020,26006,Arizpe,0,0
04/07/2020,26006,Arizpe,0,0
05/07/2020,26006,Arizpe,0,0
06/07/2020,26006,Arizpe,0,0
07/07/2020,26006,Arizpe,0,0
08/07/2020,26006,Arizpe,0,0
09/07/2020,26006,Arizpe,0,0
10/07/2020,26006,Arizpe,0,0
11/07/2020,26006,Arizpe,0,0
12/07/2020,26006,Arizpe,0,0
13/07/2020,26006,Arizpe,0,0
14/07/2020,26006,Arizpe,0,0
15/07/2020,26006,Arizpe,0,0
16/07/2020,26006,Arizpe,0,0
17/07/2020,26006,Arizpe,0,0
18/07/2020,26006,Arizpe,0,0
19/07/2020,26006,Arizpe,0,0
20/07/2020,26006,Arizpe,1,1
21/07/2020,26006,Arizpe,1,0
22/07/2020,26006,Arizpe,1,0
23/07/2020,26006,Arizpe,1,0
24/07/2020,26006,Arizpe,1,0
25/07/2020,26006,Arizpe,1,0
26/07/2020,26006,Arizpe,1,0
27/07/2020,26006,Arizpe,1,0
28/07/2020,26006,Arizpe,1,0
29/07/2020,26006,Arizpe,1,0
30/07/2020,26006,Arizpe,1,0
31/07/2020,26006,Arizpe,1,0
01/08/2020,26006,Arizpe,1,0
02/08/2020,26006,Arizpe,1,0
03/08/2020,26006,Arizpe,1,0
04/08/2020,26006,Arizpe,1,0
05/08/2020,26006,Arizpe,1,0
06/08/2020,26006,Arizpe,1,0
07/08/2020,26006,Arizpe,1,0
08/08/2020,26006,Arizpe,1,0
09/08/2020,26006,Arizpe,1,0
10/08/2020,26006,Arizpe,1,0
11/08/2020,26006,Arizpe,1,0
12/08/2020,26006,Arizpe,1,0
13/08/2020,26006,Arizpe,1,0
14/08/2020,26006,Arizpe,1,0
15/08/2020,26006,Arizpe,1,0
16/08/2020,26006,Arizpe,1,0
17/08/2020,26006,Arizpe,1,0
18/08/2020,26006,Arizpe,1,0
19/08/2020,26006,Arizpe,1,0
20/08/2020,26006,Arizpe,1,0
