"","Fecha","CVEGEO","MUNICIPIO","CASOS.ACUMULADOS","CASOS.DIARIOS","DECESOS.ACUMULADOS","DECESOS.DIARIOS"
"48",2020-05-02,26030,"Hermosillo",81,7,3,0
"49",2020-05-03,26030,"Hermosillo",85,4,3,0
"50",2020-05-04,26030,"Hermosillo",100,15,3,0
"51",2020-05-05,26030,"Hermosillo",100,0,3,0
"52",2020-05-06,26030,"Hermosillo",121,21,4,1
"53",2020-05-07,26030,"Hermosillo",123,2,4,0
"54",2020-05-08,26030,"Hermosillo",156,33,4,0
"55",2020-05-09,26030,"Hermosillo",165,9,5,1
"56",2020-05-10,26030,"Hermosillo",172,7,5,0
"57",2020-05-11,26030,"Hermosillo",190,18,5,0
"58",2020-05-12,26030,"Hermosillo",210,20,6,1
"59",2020-05-13,26030,"Hermosillo",227,17,6,0
"60",2020-05-14,26030,"Hermosillo",251,24,7,1
"61",2020-05-15,26030,"Hermosillo",288,37,7,0
"62",2020-05-16,26030,"Hermosillo",292,4,7,0
"63",2020-05-17,26030,"Hermosillo",315,23,8,1
"64",2020-05-18,26030,"Hermosillo",327,12,8,0
"65",2020-05-19,26030,"Hermosillo",348,21,8,0
"66",2020-05-20,26030,"Hermosillo",394,46,8,0
"67",2020-05-21,26030,"Hermosillo",423,29,10,2
"68",2020-05-22,26030,"Hermosillo",447,24,10,0
"69",2020-05-23,26030,"Hermosillo",478,31,11,1
"70",2020-05-24,26030,"Hermosillo",510,32,12,1
"71",2020-05-25,26030,"Hermosillo",536,26,12,0
"72",2020-05-26,26030,"Hermosillo",555,19,13,1
"73",2020-05-27,26030,"Hermosillo",611,56,18,5
"74",2020-05-28,26030,"Hermosillo",664,53,21,3
"75",2020-05-29,26030,"Hermosillo",683,19,21,0
"76",2020-05-30,26030,"Hermosillo",741,58,22,1
"77",2020-05-31,26030,"Hermosillo",777,36,24,2
"78",2020-06-01,26030,"Hermosillo",812,35,26,2
"79",2020-06-02,26030,"Hermosillo",851,39,31,5
"80",2020-06-03,26030,"Hermosillo",887,36,34,3
"81",2020-06-04,26030,"Hermosillo",984,97,36,2
"82",2020-06-05,26030,"Hermosillo",1069,85,38,2
"83",2020-06-06,26030,"Hermosillo",1074,5,41,3
"84",2020-06-07,26030,"Hermosillo",1161,87,41,0
"85",2020-06-08,26030,"Hermosillo",1193,32,42,1
"86",2020-06-09,26030,"Hermosillo",1231,38,47,5
"87",2020-06-10,26030,"Hermosillo",1292,61,53,6
"88",2020-06-11,26030,"Hermosillo",1389,97,58,5
"89",2020-06-12,26030,"Hermosillo",1523,134,63,5
"90",2020-06-13,26030,"Hermosillo",1628,105,66,3
"91",2020-06-14,26030,"Hermosillo",1657,29,72,6
"92",2020-06-15,26030,"Hermosillo",1675,18,74,2
"93",2020-06-16,26030,"Hermosillo",1736,61,80,6
"94",2020-06-17,26030,"Hermosillo",1817,81,83,3
"95",2020-06-18,26030,"Hermosillo",1897,80,90,7
"96",2020-06-19,26030,"Hermosillo",2071,174,95,5
"97",2020-06-20,26030,"Hermosillo",2158,87,102,7
"98",2020-06-21,26030,"Hermosillo",2192,34,107,5
"99",2020-06-22,26030,"Hermosillo",2244,52,131,24
"100",2020-06-23,26030,"Hermosillo",2347,103,134,3
"101",2020-06-24,26030,"Hermosillo",2454,107,148,14
"102",2020-06-25,26030,"Hermosillo",2517,63,158,10
"103",2020-06-26,26030,"Hermosillo",2550,33,169,11
"104",2020-06-27,26030,"Hermosillo",2657,107,171,2
"105",2020-06-28,26030,"Hermosillo",2696,39,175,4
"106",2020-06-29,26030,"Hermosillo",2727,31,179,4
"107",2020-06-30,26030,"Hermosillo",2800,73,183,4
"108",2020-07-01,26030,"Hermosillo",2947,147,187,4
"109",2020-07-02,26030,"Hermosillo",3125,178,196,9
"110",2020-07-03,26030,"Hermosillo",3270,145,205,9
"111",2020-07-04,26030,"Hermosillo",3316,46,218,13
"112",2020-07-05,26030,"Hermosillo",3398,82,219,1
"113",2020-07-06,26030,"Hermosillo",3519,121,222,3
"114",2020-07-07,26030,"Hermosillo",3726,207,235,13
