CVE_MUN,NOM_MUN,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,01/11/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,07/11/2020,08/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,23/11/2020,24/11/2020,25/11/2020,26/11/2020,27/11/2020,28/11/2020,29/11/2020,30/11/2020,01/12/2020,02/12/2020,03/12/2020,04/12/2020,05/12/2020,06/12/2020,07/12/2020,08/12/2020,09/12/2020,10/12/2020,11/12/2020,12/12/2020,13/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,19/12/2020,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,16/01/2021,17/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021,31/05/2021,01/06/2021,02/06/2021,03/06/2021,04/06/2021,05/06/2021,06/06/2021,07/06/2021,08/06/2021,09/06/2021,10/06/2021,11/06/2021,12/06/2021
26011,Bacoachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,11,11,11,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,22,22,22,22,22,22,22,22,23,23,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,27,27,27,27,28,28,31,31,32,33,33,33,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,37,38,38,38,38,39,39,39,39,39,40,40,40,41,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
26012,Bácum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,3,3,3,3,4,4,4,4,4,7,7,7,7,8,8,9,9,9,9,10,10,10,10,10,10,10,12,14,16,16,19,19,19,20,20,21,23,24,26,28,28,28,30,30,32,32,32,32,32,34,35,36,36,36,36,37,37,37,38,38,38,40,41,42,45,45,45,45,46,46,58,59,61,75,77,79,79,93,99,102,102,102,102,115,117,118,118,118,130,130,134,134,134,134,135,135,135,136,139,139,139,139,139,142,143,143,143,143,143,143,145,146,146,147,148,148,148,148,148,148,148,149,149,149,149,150,150,151,153,153,153,153,153,153,153,153,153,153,153,153,153,154,154,154,154,154,154,155,156,156,156,156,156,156,156,156,157,157,157,158,159,159,159,159,159,159,159,159,159,159,160,160,160,160,160,160,160,160,160,160,161,161,161,161,161,161,161,162,163,164,165,166,166,166,166,166,166,166,166,166,166,166,167,167,167,167,168,168,168,168,168,168,168,168,169,169,169,169,173,173,173,173,174,174,174,174,175,176,176,177,183,183,185,185,186,187,197,204,208,209,210,213,219,227,231,232,233,233,236,237,238,244,249,249,249,249,252,256,256,256,256,256,256,258,262,264,266,266,267,267,267,267,268,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,270,270,270,270,270,270,270,270,270,271,271,271,271,271,272,272,272,272,272,272,273,273,274,274,274,274,274,274,274,274,279,279,279,279,280,280,280,280,280,280,280,280,282,282,282,282,282,282,282,282,282,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,284,284,284,285,285,285,287,287,287,287,287,287,287,287,287,289,289,289,289
26013,Banámichi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
26014,Baviácora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,18,21,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,39,44,44,44,44,44,44,44,50,50,50,51,51,51,51,51,52,52,63,63,63,63,76,76,77,77,78,78,78,78,78,78,84,85,85,88,92,92,100,100,100,100,100,100,108,108,108,108,108,121,121,121,122,122,122,122,123,123,123,123,123,123,123,123,123,126,126,126,126,127,127,127,128,128,131,131,131,131,131,131,131,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
26015,Bavispe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
26071,Benito Juárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,7,7,7,7,7,7,7,7,7,7,7,9,10,12,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,16,17,17,17,17,18,19,20,20,20,20,20,20,21,22,22,22,22,22,22,22,22,22,23,23,23,23,23,25,26,26,26,26,32,32,32,32,32,34,36,36,37,39,40,46,47,50,55,57,59,62,63,70,70,71,75,77,77,77,78,78,79,80,80,81,82,82,82,83,83,83,83,85,86,86,86,87,87,87,87,91,91,91,92,92,93,93,93,93,96,98,98,99,99,99,103,103,107,107,107,107,110,110,111,112,113,113,113,113,113,113,113,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,116,116,116,116,116,116,116,116,116,116,117,117,117,117,117,119,119,119,119,120,120,120,120,120,121,121,122,122,122,122,122,123,123,123,123,123,124,124,124,124,124,124,124,124,124,124,124,124,127,128,128,128,128,128,131,131,131,131,135,135,135,135,142,143,143,143,145,147,148,149,150,154,155,155,155,155,156,158,159,160,161,161,161,161,162,162,162,162,162,163,163,163,163,164,164,165,165,166,166,166,167,167,167,168,168,168,168,168,168,168,168,168,168,170,170,170,170,174,178,178,178,178,179,179,179,180,181,182,182,183,184,184,184,184,184,184,184,190,190,194,195,195,197,198,198,204,204,204,204,204,204,204,206,209,211,211,211,211,213,216,216,216,216,216,216,216,216,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,218,218,218,218,219,219,223,225,228,228,228,230,236,236,236,236,236,236,236,236,239,249
26016,Benjamín Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,5,5,6,7,8,9,9,9,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,13,13,13,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,26,26,26,26,26,26,26,26,27,27,28,28,28,28,28,28,28,28,29,29,29,30,30,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,33,33,33,33,33,33,34,34,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,41,41,41,41,41,41,41,41,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46
26017,Caborca,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,4,4,4,4,6,6,6,7,7,7,7,7,8,8,8,11,11,12,12,15,15,15,15,16,20,20,20,26,26,27,30,30,30,32,32,36,36,40,52,57,59,64,72,73,73,73,73,73,82,83,84,84,91,97,103,103,113,142,144,146,170,170,171,172,194,217,228,237,237,239,248,272,272,274,274,275,275,275,277,278,338,391,391,413,417,431,458,486,486,486,492,514,533,554,564,582,587,594,606,610,619,625,679,720,746,772,811,819,826,850,853,856,862,909,910,927,945,949,956,990,1038,1078,1079,1106,1109,1110,1113,1136,1139,1165,1189,1191,1191,1195,1215,1218,1220,1248,1263,1263,1264,1276,1278,1280,1310,1311,1312,1313,1316,1332,1336,1340,1350,1353,1354,1354,1364,1365,1365,1383,1383,1383,1383,1397,1397,1397,1411,1411,1411,1411,1426,1429,1429,1438,1438,1442,1443,1456,1456,1457,1470,1470,1470,1471,1482,1482,1482,1483,1493,1493,1493,1501,1501,1501,1519,1530,1534,1535,1535,1554,1555,1558,1576,1578,1578,1580,1581,1590,1603,1603,1608,1609,1633,1638,1641,1641,1655,1655,1655,1655,1655,1686,1686,1686,1696,1714,1719,1719,1757,1758,1758,1764,1784,1784,1786,1812,1813,1813,1825,1827,1828,1853,1856,1857,1859,1861,1885,1885,1885,1911,1912,1913,1955,1957,1957,1957,1990,2010,2012,2028,2031,2047,2047,2048,2070,2089,2089,2116,2118,2150,2152,2152,2153,2154,2202,2204,2212,2233,2268,2302,2303,2310,2363,2373,2408,2410,2413,2415,2438,2444,2469,2483,2504,2513,2514,2516,2522,2545,2550,2555,2561,2562,2576,2595,2598,2603,2606,2608,2608,2609,2615,2632,2633,2638,2641,2642,2644,2650,2660,2673,2678,2679,2687,2691,2699,2705,2713,2725,2730,2735,2744,2752,2759,2767,2784,2792,2793,2793,2805,2815,2820,2826,2835,2841,2854,2871,2915,2932,2942,2944,2946,2948,2956,2962,2963,2966,2967,2973,2978,2984,2995,2999,3003,3005,3008,3015,3039,3041,3051,3055,3059,3061,3067,3072,3086,3090,3098,3101,3105,3117,3119,3124,3128,3136,3138,3138,3145,3147,3149,3159,3160,3162,3167,3167,3170,3173,3173,3175,3180,3181,3184,3190,3191,3199,3202,3205,3209,3216,3222,3227,3234,3236,3242,3244,3248,3260,3265,3276,3291,3296,3298,3303,3311,3327,3335
26018,Cajeme,,,,,,,,,1,3,3,3,4,4,4,4,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,9,10,11,11,12,12,13,13,13,14,16,16,17,17,19,21,26,32,32,38,43,46,49,52,73,78,84,87,103,110,122,127,140,144,160,201,224,242,255,280,285,309,352,378,400,437,497,518,559,567,619,637,710,710,760,798,849,881,927,939,988,1051,1051,1188,1210,1270,1306,1438,1470,1474,1514,1529,1582,1631,1653,1702,1773,1807,1855,1939,1987,2057,2071,2096,2113,2134,2147,2157,2233,2247,2304,2317,2352,2423,2448,2477,2479,2491,2504,2588,2664,2718,2732,2737,2763,2810,2829,2897,2930,2943,2977,3076,3155,3242,3336,3411,3486,3510,3533,3550,3577,3612,3631,3670,3706,3742,3774,3822,3826,3857,3875,3899,3918,3930,3964,3978,4007,4035,4045,4059,4092,4106,4122,4141,4160,4182,4195,4206,4222,4242,4255,4272,4289,4302,4306,4317,4354,4354,4375,4377,4377,4388,4417,4418,4431,4463,4468,4469,4470,4499,4502,4521,4547,4553,4559,4559,4586,4599,4616,4634,4636,4640,4641,4708,4719,4727,4761,4764,4775,4782,4797,4798,4819,4844,4845,4847,4863,4867,4870,4891,4892,4893,4894,4904,4910,4917,4918,4948,4979,5002,5020,5037,5041,5041,5042,5058,5123,5154,5154,5168,5209,5220,5276,5332,5377,5420,5434,5453,5463,5542,5562,5591,5599,5635,5638,5687,5689,5703,5712,5746,5762,5775,5785,5808,5853,5868,5924,5931,5944,5983,6057,6067,6083,6131,6133,6183,6196,6201,6220,6271,6280,6296,6313,6349,6379,6392,6413,6486,6488,6572,6581,6605,6657,6759,6828,6956,6991,7059,7197,7341,7537,7650,7753,7849,7872,7926,8001,8095,8173,8211,8247,8265,8267,8318,8403,8482,8546,8568,8579,8609,8630,8656,8689,8768,8819,8869,8882,8930,8950,8972,8988,8994,9003,9015,9035,9060,9069,9085,9087,9092,9127,9146,9200,9208,9239,9243,9251,9278,9320,9344,9363,9394,9398,9401,9413,9459,9486,9508,9526,9532,9536,9567,9596,9619,9632,9655,9660,9664,9684,9694,9703,9718,9719,9728,9740,9781,9815,9862,9894,9915,9919,9932,9968,10023,10049,10081,10103,10108,10120,10145,10182,10209,10236,10249,10263,10271,10283,10293,10300,10303,10310,10319,10320,10321,10327,10337,10344,10350,10353,10357,10359,10367,10374,10380,10392,10396,10402,10409,10425,10436,10446,10456,10460,10463,10475,10489,10506,10511,10531,10535,10552,10568,10581,10596,10606,10630,10639,10640,10658,10676,10703,10730
26019,Cananea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,8,10,10,12,13,15,15,17,17,17,17,17,17,17,19,19,19,21,21,21,25,25,25,27,27,29,30,30,35,35,35,39,39,41,41,51,51,51,52,57,62,68,76,76,76,84,84,99,99,100,112,112,112,118,120,120,120,131,132,132,147,148,148,158,159,164,164,164,172,173,178,178,178,178,178,198,227,267,274,282,288,297,303,306,315,322,324,333,335,343,344,349,356,364,366,369,372,374,379,379,383,387,387,391,399,399,404,404,404,404,407,407,407,409,410,412,412,417,419,421,421,421,422,422,423,425,427,431,431,436,436,436,440,440,446,446,449,455,456,466,475,482,482,493,504,518,534,540,545,546,561,577,584,598,604,611,611,620,636,642,662,670,675,678,684,690,706,734,734,744,744,764,782,801,838,865,876,878,878,879,911,960,961,1002,1002,1029,1055,1083,1083,1104,1109,1123,1123,1152,1152,1152,1166,1167,1184,1192,1242,1257,1258,1260,1261,1317,1330,1375,1376,1379,1403,1404,1416,1417,1450,1459,1461,1476,1476,1492,1503,1511,1521,1522,1529,1530,1530,1543,1566,1566,1585,1585,1595,1595,1596,1608,1608,1610,1629,1636,1636,1651,1677,1686,1697,1705,1721,1722,1734,1742,1748,1750,1759,1759,1766,1773,1783,1784,1789,1792,1792,1792,1798,1798,1804,1806,1817,1818,1818,1820,1825,1828,1833,1834,1834,1834,1835,1835,1838,1841,1841,1841,1841,1842,1842,1843,1843,1846,1846,1846,1846,1846,1851,1855,1855,1855,1855,1855,1856,1856,1856,1856,1859,1859,1859,1861,1861,1861,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1866,1866,1866,1866,1866,1866,1867,1872,1876,1877,1878,1878,1878,1878,1879,1881,1883,1887,1887,1888,1888,1888,1888,1888,1891,1892,1893,1895,1895,1897,1897,1897,1897,1897,1898,1898,1898,1901,1901,1902,1902,1903,1903,1903,1903,1903,1903,1903,1903,1907,1907,1907,1907,1910,1911,1911,1911,1912,1912,1912,1912,1912,1912,1912,1912,1914,1915,1915,1915,1916,1918,1918,1918,1918,1918,1918,1920,1921,1922,1925
26020,Carbó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,9,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
